,Pais,Año,Emisiones Agricultura
119,European Union - 27 countries (from 2020),2021,378.43047
120,Finland,2012,6.23874
121,Finland,2013,6.35039
122,Finland,2014,6.40925
123,Finland,2015,6.3925
124,Finland,2016,6.43898
125,Finland,2017,6.34667
126,Finland,2018,6.29693
127,Finland,2019,6.44587
128,Finland,2020,6.41459
129,Finland,2021,6.30311
130,France,2012,71.60063
131,France,2013,70.85305
132,France,2014,72.41057
133,France,2015,72.14308
134,France,2016,71.45349
135,France,2017,71.48286
136,France,2018,70.52484
137,France,2019,68.83305
138,France,2020,67.3635
139,France,2021,66.21386
140,Croatia,2012,3.06141
141,Croatia,2013,2.80088
142,Croatia,2014,2.73618
143,Croatia,2015,2.7872
144,Croatia,2016,2.74503
145,Croatia,2017,2.84399
146,Croatia,2018,2.73074
147,Croatia,2019,2.72124
148,Croatia,2020,2.70072
149,Croatia,2021,2.70094
150,Hungary,2012,5.84089
151,Hungary,2013,6.20623
152,Hungary,2014,6.44154
153,Hungary,2015,6.65402
154,Hungary,2016,6.94594
155,Hungary,2017,6.94964
156,Hungary,2018,7.00034
157,Hungary,2019,6.98933
158,Hungary,2020,7.16975
159,Hungary,2021,7.20198
160,Ireland,2012,19.70642
161,Ireland,2013,20.50414
162,Ireland,2014,20.05624
163,Ireland,2015,20.62034
164,Ireland,2016,21.16149
165,Ireland,2017,21.89767
166,Ireland,2018,22.71921
167,Ireland,2019,21.78978
168,Ireland,2020,22.13328
169,Ireland,2021,22.95353
170,Iceland,2012,0.64072
171,Iceland,2013,0.62497
172,Iceland,2014,0.66828
173,Iceland,2015,0.65923
174,Iceland,2016,0.65873
175,Iceland,2017,0.65958
176,Iceland,2018,0.63777
177,Iceland,2019,0.62147
178,Iceland,2020,0.61701
179,Iceland,2021,0.62007
180,Italy,2012,33.19996
181,Italy,2013,32.42712
182,Italy,2014,32.14417
183,Italy,2015,32.10167
184,Italy,2016,33.0118
185,Italy,2017,32.58081
186,Italy,2018,32.30649
187,Italy,2019,32.19029
188,Italy,2020,33.42651
189,Italy,2021,32.71722
190,Lithuania,2012,4.28737
191,Lithuania,2013,4.25453
192,Lithuania,2014,4.45944
193,Lithuania,2015,4.53764
194,Lithuania,2016,4.44456
195,Lithuania,2017,4.40001
196,Lithuania,2018,4.26555
197,Lithuania,2019,4.28697
198,Lithuania,2020,4.50775
199,Lithuania,2021,4.32772
200,Luxembourg,2012,0.63583
201,Luxembourg,2013,0.64882
202,Luxembourg,2014,0.66281
203,Luxembourg,2015,0.67249
204,Luxembourg,2016,0.69407
205,Luxembourg,2017,0.69907
206,Luxembourg,2018,0.70126
207,Luxembourg,2019,0.69087
208,Luxembourg,2020,0.70297
209,Luxembourg,2021,0.69735
210,Latvia,2012,1.96272
211,Latvia,2013,2.0257
212,Latvia,2014,2.10534
213,Latvia,2015,2.15147
214,Latvia,2016,2.16327
215,Latvia,2017,2.17666
216,Latvia,2018,2.09641
217,Latvia,2019,2.19836
218,Latvia,2020,2.25041
219,Latvia,2021,2.25296
220,Malta,2012,0.08423
221,Malta,2013,0.08447
222,Malta,2014,0.0845
223,Malta,2015,0.08466
224,Malta,2016,0.08557
225,Malta,2017,0.08479
226,Malta,2018,0.08357
227,Malta,2019,0.08641
228,Malta,2020,0.08927
229,Malta,2021,0.08771
230,Netherlands,2012,17.70418
231,Netherlands,2013,18.20471
232,Netherlands,2014,18.37013
233,Netherlands,2015,18.99812
234,Netherlands,2016,19.26257
235,Netherlands,2017,19.27067
236,Netherlands,2018,18.67148
237,Netherlands,2019,18.44662
238,Netherlands,2020,18.37039
239,Netherlands,2021,17.9747
240,Norway,2012,4.47145
241,Norway,2013,4.52296
242,Norway,2014,4.59414
243,Norway,2015,4.66219
244,Norway,2016,4.71928
245,Norway,2017,4.69515
246,Norway,2018,4.67339
247,Norway,2019,4.63087
248,Norway,2020,4.64856
249,Norway,2021,4.70171
250,Poland,2012,31.82663
251,Poland,2013,32.46468
252,Poland,2014,32.36407
253,Poland,2015,31.70548
254,Poland,2016,32.0671
255,Poland,2017,33.35959
256,Poland,2018,33.68837
257,Poland,2019,32.59516
258,Poland,2020,34.05167
259,Poland,2021,34.03526
260,Portugal,2012,6.79396
261,Portugal,2013,6.7573
262,Portugal,2014,6.89014
263,Portugal,2015,6.91136
264,Portugal,2016,6.95421
265,Portugal,2017,7.0676
266,Portugal,2018,7.14864
267,Portugal,2019,7.24862
268,Portugal,2020,7.27189
269,Portugal,2021,7.25818
270,Romania,2012,17.93331
271,Romania,2013,18.50849
272,Romania,2014,18.68857
273,Romania,2015,18.92502
274,Romania,2016,18.82994
275,Romania,2017,18.96497
276,Romania,2018,19.52542
277,Romania,2019,19.2431
278,Romania,2020,19.01069
279,Romania,2021,19.1693
280,Sweden,2012,6.61348
281,Sweden,2013,6.67286
282,Sweden,2014,6.75367
283,Sweden,2015,6.7675
284,Sweden,2016,6.73991
285,Sweden,2017,6.85693
286,Sweden,2018,6.67222
287,Sweden,2019,6.69881
288,Sweden,2020,6.79675
289,Sweden,2021,6.67359
290,Slovenia,2012,1.72458
291,Slovenia,2013,1.70919
292,Slovenia,2014,1.75601
293,Slovenia,2015,1.7995
294,Slovenia,2016,1.82217
295,Slovenia,2017,1.78784
296,Slovenia,2018,1.78758
297,Slovenia,2019,1.80785
298,Slovenia,2020,1.81299
299,Slovenia,2021,1.81347
300,Slovakia,2012,2.42913
301,Slovakia,2013,2.5652
302,Slovakia,2014,2.69826
303,Slovakia,2015,2.51687
304,Slovakia,2016,2.63622
305,Slovakia,2017,2.49206
306,Slovakia,2018,2.51248
307,Slovakia,2019,2.52901
308,Slovakia,2020,2.53175
309,Slovakia,2021,2.43057
9239,Austria,2012,7212.42
9240,Austria,2013,7211.17
9241,Austria,2014,7346.22
9242,Austria,2015,7376.0
9243,Austria,2016,7488.82
9244,Austria,2017,7444.13
9245,Austria,2018,7330.2
9246,Austria,2019,7221.21
9247,Austria,2020,7197.46
9248,Austria,2021,7221.16
9249,Belgium,2012,9579.49
9250,Belgium,2013,9579.71
9251,Belgium,2014,9708.2
9252,Belgium,2015,9715.18
9253,Belgium,2016,9601.71
9254,Belgium,2017,9653.14
9255,Belgium,2018,9533.09
9256,Belgium,2019,9559.92
9257,Belgium,2020,9516.1
9258,Belgium,2021,9414.19
9259,Bulgaria,2012,4985.0
9260,Bulgaria,2013,5432.2
9261,Bulgaria,2014,5852.05
9262,Bulgaria,2015,5890.94
9263,Bulgaria,2016,6198.09
9264,Bulgaria,2017,6165.52
9265,Bulgaria,2018,6024.91
9266,Bulgaria,2019,6004.04
9267,Bulgaria,2020,5978.19
9268,Bulgaria,2021,6106.34
9269,Switzerland,2012,6157.61
9270,Switzerland,2013,6079.41
9271,Switzerland,2014,6214.31
9272,Switzerland,2015,6112.72
9273,Switzerland,2016,6097.53
9274,Switzerland,2017,6059.64
9275,Switzerland,2018,6000.13
9276,Switzerland,2019,5895.44
9277,Switzerland,2020,5858.68
9278,Switzerland,2021,5897.73
9279,Cyprus,2012,555.21
9280,Cyprus,2013,513.01
9281,Cyprus,2014,499.08
9282,Cyprus,2015,505.95
9283,Cyprus,2016,529.82
9284,Cyprus,2017,544.67
9285,Cyprus,2018,550.14
9286,Cyprus,2019,565.46
9287,Cyprus,2020,603.16
9288,Cyprus,2021,626.2
9289,Czechia,2012,7572.9
9290,Czechia,2013,7484.56
9291,Czechia,2014,7559.94
9292,Czechia,2015,8164.5
9293,Czechia,2016,8405.22
9294,Czechia,2017,8191.44
9295,Czechia,2018,7989.79
9296,Czechia,2019,7933.44
9297,Czechia,2020,7717.83
9298,Czechia,2021,7844.54
9299,Germany (until 1990 former territory of the FRG),2012,60052.38
9300,Germany (until 1990 former territory of the FRG),2013,60852.0
9301,Germany (until 1990 former territory of the FRG),2014,62107.72
9302,Germany (until 1990 former territory of the FRG),2015,61967.23
9303,Germany (until 1990 former territory of the FRG),2016,61546.13
9304,Germany (until 1990 former territory of the FRG),2017,60866.86
9305,Germany (until 1990 former territory of the FRG),2018,59265.36
9306,Germany (until 1990 former territory of the FRG),2019,58525.01
9307,Germany (until 1990 former territory of the FRG),2020,57551.88
9308,Germany (until 1990 former territory of the FRG),2021,56332.89
9309,Denmark,2012,12061.25
9310,Denmark,2013,12056.28
9311,Denmark,2014,12192.66
9312,Denmark,2015,12029.43
9313,Denmark,2016,12235.95
9314,Denmark,2017,12282.34
9315,Denmark,2018,12146.28
9316,Denmark,2019,12079.11
9317,Denmark,2020,12388.78
9318,Denmark,2021,12074.39
9319,Estonia,2012,1409.72
9320,Estonia,2013,1451.6
9321,Estonia,2014,1498.19
9322,Estonia,2015,1459.91
9323,Estonia,2016,1426.11
9324,Estonia,2017,1478.63
9325,Estonia,2018,1480.33
9326,Estonia,2019,1559.55
9327,Estonia,2020,1569.74
9328,Estonia,2021,1583.94
9329,Greece,2012,8839.48
9330,Greece,2013,8754.65
9331,Greece,2014,8347.14
9332,Greece,2015,8165.96
9333,Greece,2016,8157.39
9334,Greece,2017,8189.34
9335,Greece,2018,8121.04
9336,Greece,2019,8100.53
9337,Greece,2020,8153.85
9338,Greece,2021,8045.99
9339,Spain,2012,31623.81
9340,Spain,2013,31338.11
9341,Spain,2014,32621.16
9342,Spain,2015,33236.25
9343,Spain,2016,33305.31
9344,Spain,2017,34084.83
9345,Spain,2018,33971.41
9346,Spain,2019,33898.36
9347,Spain,2020,34674.95
9348,Spain,2021,34369.39
9349,European Union - 27 countries (from 2020),2012,375535.13
9350,European Union - 27 countries (from 2020),2013,377711.06
9351,European Union - 27 countries (from 2020),2014,382763.23
9352,European Union - 27 countries (from 2020),2015,384280.24
9353,European Union - 27 countries (from 2020),2016,386350.86
9354,European Union - 27 countries (from 2020),2017,388162.75
9355,European Union - 27 countries (from 2020),2018,385144.08
9356,European Union - 27 countries (from 2020),2019,380247.96
9357,European Union - 27 countries (from 2020),2020,381956.83
9358,European Union - 27 countries (from 2020),2021,378430.47
9359,Finland,2012,6238.74
9360,Finland,2013,6350.39
9361,Finland,2014,6409.25
9362,Finland,2015,6392.5
9363,Finland,2016,6438.98
9364,Finland,2017,6346.67
9365,Finland,2018,6296.93
9366,Finland,2019,6445.87
9367,Finland,2020,6414.59
9368,Finland,2021,6303.11
9369,France,2012,71600.63
9370,France,2013,70853.05
9371,France,2014,72410.57
9372,France,2015,72143.08
9373,France,2016,71453.49
9374,France,2017,71482.86
9375,France,2018,70524.84
9376,France,2019,68833.05
9377,France,2020,67363.5
9378,France,2021,66213.86
9379,Croatia,2012,3061.41
9380,Croatia,2013,2800.88
9381,Croatia,2014,2736.18
9382,Croatia,2015,2787.2
9383,Croatia,2016,2745.03
9384,Croatia,2017,2843.99
9385,Croatia,2018,2730.74
9386,Croatia,2019,2721.24
9387,Croatia,2020,2700.72
9388,Croatia,2021,2700.94
9389,Hungary,2012,5840.89
9390,Hungary,2013,6206.23
9391,Hungary,2014,6441.54
9392,Hungary,2015,6654.02
9393,Hungary,2016,6945.94
9394,Hungary,2017,6949.64
9395,Hungary,2018,7000.34
9396,Hungary,2019,6989.33
9397,Hungary,2020,7169.75
9398,Hungary,2021,7201.98
9399,Ireland,2012,19706.42
9400,Ireland,2013,20504.14
9401,Ireland,2014,20056.24
9402,Ireland,2015,20620.34
9403,Ireland,2016,21161.49
9404,Ireland,2017,21897.67
9405,Ireland,2018,22719.21
9406,Ireland,2019,21789.78
9407,Ireland,2020,22133.28
9408,Ireland,2021,22953.53
9409,Iceland,2012,640.72
9410,Iceland,2013,624.97
9411,Iceland,2014,668.28
9412,Iceland,2015,659.23
9413,Iceland,2016,658.73
9414,Iceland,2017,659.58
9415,Iceland,2018,637.77
9416,Iceland,2019,621.47
9417,Iceland,2020,617.01
9418,Iceland,2021,620.07
9419,Italy,2012,33199.96
9420,Italy,2013,32427.12
9421,Italy,2014,32144.17
9422,Italy,2015,32101.67
9423,Italy,2016,33011.8
9424,Italy,2017,32580.81
9425,Italy,2018,32306.49
9426,Italy,2019,32190.29
9427,Italy,2020,33426.51
9428,Italy,2021,32717.22
9429,Lithuania,2012,4287.37
9430,Lithuania,2013,4254.53
9431,Lithuania,2014,4459.44
9432,Lithuania,2015,4537.64
9433,Lithuania,2016,4444.56
9434,Lithuania,2017,4400.01
9435,Lithuania,2018,4265.55
9436,Lithuania,2019,4286.97
9437,Lithuania,2020,4507.75
9438,Lithuania,2021,4327.72
9439,Luxembourg,2012,635.83
9440,Luxembourg,2013,648.82
9441,Luxembourg,2014,662.81
9442,Luxembourg,2015,672.49
9443,Luxembourg,2016,694.07
9444,Luxembourg,2017,699.07
9445,Luxembourg,2018,701.26
9446,Luxembourg,2019,690.87
9447,Luxembourg,2020,702.97
9448,Luxembourg,2021,697.35
9449,Latvia,2012,1962.72
9450,Latvia,2013,2025.7
9451,Latvia,2014,2105.34
9452,Latvia,2015,2151.47
9453,Latvia,2016,2163.27
9454,Latvia,2017,2176.66
9455,Latvia,2018,2096.41
9456,Latvia,2019,2198.36
9457,Latvia,2020,2250.41
9458,Latvia,2021,2252.96
9459,Malta,2012,84.23
9460,Malta,2013,84.47
9461,Malta,2014,84.5
9462,Malta,2015,84.66
9463,Malta,2016,85.57
9464,Malta,2017,84.79
9465,Malta,2018,83.57
9466,Malta,2019,86.41
9467,Malta,2020,89.27
9468,Malta,2021,87.71
9469,Netherlands,2012,17704.18
9470,Netherlands,2013,18204.71
9471,Netherlands,2014,18370.13
9472,Netherlands,2015,18998.12
9473,Netherlands,2016,19262.57
9474,Netherlands,2017,19270.67
9475,Netherlands,2018,18671.48
9476,Netherlands,2019,18446.62
9477,Netherlands,2020,18370.39
9478,Netherlands,2021,17974.7
9479,Norway,2012,4471.45
9480,Norway,2013,4522.96
9481,Norway,2014,4594.14
9482,Norway,2015,4662.19
9483,Norway,2016,4719.28
9484,Norway,2017,4695.15
9485,Norway,2018,4673.39
9486,Norway,2019,4630.87
9487,Norway,2020,4648.56
9488,Norway,2021,4701.71
9489,Poland,2012,31826.63
9490,Poland,2013,32464.68
9491,Poland,2014,32364.07
9492,Poland,2015,31705.48
9493,Poland,2016,32067.1
9494,Poland,2017,33359.59
9495,Poland,2018,33688.37
9496,Poland,2019,32595.16
9497,Poland,2020,34051.67
9498,Poland,2021,34035.26
9499,Portugal,2012,6793.96
9500,Portugal,2013,6757.3
9501,Portugal,2014,6890.14
9502,Portugal,2015,6911.36
9503,Portugal,2016,6954.21
9504,Portugal,2017,7067.6
9505,Portugal,2018,7148.64
9506,Portugal,2019,7248.62
9507,Portugal,2020,7271.89
9508,Portugal,2021,7258.18
9509,Romania,2012,17933.31
9510,Romania,2013,18508.49
9511,Romania,2014,18688.57
9512,Romania,2015,18925.02
9513,Romania,2016,18829.94
9514,Romania,2017,18964.97
9515,Romania,2018,19525.42
9516,Romania,2019,19243.1
9517,Romania,2020,19010.69
9518,Romania,2021,19169.3
9519,Sweden,2012,6613.48
9520,Sweden,2013,6672.86
9521,Sweden,2014,6753.67
9522,Sweden,2015,6767.5
9523,Sweden,2016,6739.91
9524,Sweden,2017,6856.93
9525,Sweden,2018,6672.22
9526,Sweden,2019,6698.81
9527,Sweden,2020,6796.75
9528,Sweden,2021,6673.59
9529,Slovenia,2012,1724.58
9530,Slovenia,2013,1709.19
9531,Slovenia,2014,1756.01
9532,Slovenia,2015,1799.5
9533,Slovenia,2016,1822.17
9534,Slovenia,2017,1787.84
9535,Slovenia,2018,1787.58
9536,Slovenia,2019,1807.85
9537,Slovenia,2020,1812.99
9538,Slovenia,2021,1813.47
9539,Slovakia,2012,2429.13
9540,Slovakia,2013,2565.2
9541,Slovakia,2014,2698.26
9542,Slovakia,2015,2516.87
9543,Slovakia,2016,2636.22
9544,Slovakia,2017,2492.06
9545,Slovakia,2018,2512.48
9546,Slovakia,2019,2529.01
9547,Slovakia,2020,2531.75
9548,Slovakia,2021,2430.57
